created,tweet_text
Tue Apr 05 05:58:52 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 05:58:52 +0000 2022,"#본_사람_다하기

이름: 뎨리플
나이: 22
키: 168
MBTI: ENFJ
거주지: 경기도
폰기종: 아이폰 11 퍼플
취미: 사진찍기, 영화 드라마 보기
직업: 알바생+휴학생
이상형: 강아지보단 고양이상인데 성격은 고양이보단 강아지💙"
Tue Apr 05 05:57:53 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 05:57:34 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 05:56:50 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 05:56:34 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 05:56:03 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 05:55:32 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 05:54:38 +0000 2022,@pikaole 타나토스 메가이라 쓰리플까지 봄ㅋㅋㅋㅋ 아근데 난 메가이라가 더좋은데 갑자기 메가가 난 빠짛게이래서 존나움
Tue Apr 05 05:54:10 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 05:53:46 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 05:53:24 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 05:51:31 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 05:49:28 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 05:49:22 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 05:49:18 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 05:47:57 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 05:47:50 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 05:46:45 +0000 2022,"원조 세니트랑 리플은 겉모습은 비슷해도 눈은 좀 달랐습니다 원조는 녹안, 리플은 벽안. 후에 리플이 세니트가 된 뒤에는 따라할 수 없는 눈색을 좀 싫어하기도 했어요 https://t.co/WMdGbPkUXr"
Tue Apr 05 05:46:04 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 05:44:51 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
